w-2	w-1	w	log2prob	suprisal	entropy	word_lp
_	_	Toen	-8.26786	8.26786	8.87044	308.23
_	Toen	de	-3.11402	3.11402	6.42661	8.65789
Toen	de	barkeeper	-21.5118	21.5118	8.70512	2.99E+06
de	barkeeper	die	-7.08274	7.08274	2.5	135.556
barkeeper	die	de	-4.48102	4.48102	1	22.3316
die	de	irritante	-18.3485	18.3485	11.2996	333776
de	irritante	klant	-14.5212	14.5212	3.80735	23513.1
irritante	klant	bediende	-18.2019	18.2019	0	301520
klant	bediende	wegliep	-21.2387	21.2387	5.64563	2.47E+06
bediende	wegliep	gingen	-13.2263	13.2263	3.74052	9583.58
wegliep	gingen	de	-3.67807	3.67807	6.92722	12.8
gingen	de	deuren	-7.60733	7.60733	7.12307	195
de	deuren	open	-3.89429	3.89429	5.42012	14.8696
_	_	Toen	-8.26786	8.26786	8.87044	308.23
_	Toen	de	-3.11402	3.11402	6.42661	8.65789
Toen	de	manke	-21.7748	21.7748	8.70512	3.59E+06
de	manke	dronkaard	-20.9674	20.9674	1	2.05E+06
manke	dronkaard	die	-4.12928	4.12928	2.67747	17.5
dronkaard	die	de	-4.48102	4.48102	1	22.3316
die	de	barkeeper	-21.5118	21.5118	11.2996	2.99E+06
de	barkeeper	betaalde	-15.5605	15.5605	2.5	48324.5
barkeeper	betaalde	lachte	-17.2797	17.2797	7.71949	159117
betaalde	lachte	viel	-13.7867	13.7867	5.10924	14131.9
lachte	viel	de	-4.10059	4.10059	6.43087	17.1554
viel	de	kruk	-20.2141	20.2141	6.9901	1.22E+06
de	kruk	om	-7.71698	7.71698	2.72548	210.399
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	rector	-14.3917	14.3917	12.4321	21494.7
De	rector	die	-7.08274	7.08274	3.57782	135.556
rector	die	de	-4.48102	4.48102	1	22.3316
die	de	stoere	-17.1367	17.1367	11.2996	144100
de	stoere	puber	-18.2765	18.2765	3.73592	317530
stoere	puber	strafte	-22.0967	22.0967	5.64959	4.49E+06
puber	strafte	was	-8.47549	8.47549	3.57782	355.94
strafte	was	erg	-8.40446	8.40446	7.71877	338.84
was	erg	onredelijk	-9.21675	9.21675	6.77119	595
_	_	De	-3.40807	3.40807	8.87044	10.6152
_	De	inbreker	-15.8067	15.8067	12.4321	57319.3
De	inbreker	die	-3	3	3	8
inbreker	die	de	-4.48102	4.48102	2.58496	22.3316
die	de	gekrenkte	-22.6373	22.6373	11.2996	6.52E+06
de	gekrenkte	pastoor	-16.3137	16.3137	0	81455
gekrenkte	pastoor	smeekte	-20.1194	20.1194	6.67995	1.14E+06
pastoor	smeekte	was	-8.47549	8.47549	4.30761	355.94
smeekte	was	ten	-10.853	10.853	7.71877	1849.63
was	ten	einde	-3.96083	3.96083	3.14975	15.5714
ten	einde	raad	-3.44931	3.44931	5.35498	10.9231
_	_	Vorige	-11.6925	11.6925	8.87044	3309.77
_	Vorige	week	-0.362383	0.362383	1.23273	1.28555
Vorige	week	kreeg	-7.14466	7.14466	5.88453	141.5
week	kreeg	de	-3.70044	3.70044	2.69637	13
kreeg	de	assistent	-17.1928	17.1928	7.37831	149816
de	assistent	die	-5.39232	5.39232	4.34531	42
assistent	die	de	-1.58496	1.58496	2.25163	3
die	de	bruine	-14.586	14.586	11.2996	24593
de	bruine	tanden	-16.0841	16.0841	4.98015	69469.4
bruine	tanden	behandelde	-17.5969	17.5969	0	198237
tanden	behandelde	de	-4.91488	4.91488	5.76511	30.1667
behandelde	de	uitslag	-15.0855	15.0855	3.58496	34768.3
_	_	Vorige	-11.6925	11.6925	8.87044	3309.77
_	Vorige	maandag	-12.9608	12.9608	1.23273	7972.66
Vorige	maandag	kreeg	-10.8138	10.8138	6.62962	1800
maandag	kreeg	de	-4.48102	4.48102	2.32193	22.3316
kreeg	de	medicus	-20.2894	20.2894	7.37831	1.28E+06
de	medicus	die	-7.08274	7.08274	2.52164	135.556
medicus	die	de	-4.48102	4.48102	0	22.3316
die	de	vreemde	-13.001	13.001	11.2996	8197.67
de	vreemde	pokken	-21.1898	21.1898	6.8651	2.39E+06
vreemde	pokken	behandelde	-17.5969	17.5969	3.90689	198237
pokken	behandelde	zelf	-10.5064	10.5064	5.76511	1454.58
behandelde	zelf	de	-5.0219	5.0219	8.2877	32.4895
